imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
0.650596559047699,0.5011367735066978,0,0,0
